year,title,pdf_name
1993,Classification of Electroencephalogram using Artificial Neural Networks,855-classification-of-electroencephalogram-using-artificial-neural-networks.pdf
1993,Connectionist Modeling and Parallel Architectures,828-connectionist-modeling-and-parallel-architectures.pdf
1993,Constructive Learning Using Internal Representation Conflicts,802-constructive-learning-using-internal-representation-conflicts.pdf
1993,Counting function theorem for multi-layer networks,739-counting-function-theorem-for-multi-layer-networks.pdf
1993,Tonal Music as a Componential Code: Learning Temporal Relationships Between and Within Pitch and Timing Components,759-tonal-music-as-a-componential-code-learning-temporal-relationships-between-and-within-pitch-and-timing-components.pdf
1993,WATTLE: A Trainable Gain Analogue VLSI Neural Network,755-wattle-a-trainable-gain-analogue-vlsi-neural-network.pdf
1992,Intersecting regions: The Key to combinatorial structure in hidden unit space,691-intersecting-regions-the-key-to-combinatorial-structure-in-hidden-unit-space.pdf
1992,Rational Parametrizations of Neural Networks,696-rational-parametrizations-of-neural-networks.pdf
1992,Some Estimates of Necessary Number of Connections and Hidden Units for Feed-Forward Networks,695-some-estimates-of-necessary-number-of-connections-and-hidden-units-for-feed-forward-networks.pdf
1992,Summed Weight Neuron Perturbation: An O(N) Improvement Over Weight Perturbation,608-summed-weight-neuron-perturbation-an-on-improvement-over-weight-perturbation.pdf
1991,ANN Based Classification for Heart Defibrillators,586-ann-based-classification-for-heart-defibrillators.pdf
1991,Application of Neural Network Methodology to the Modelling of the Yield Strength in a Steel Rolling Plate Mill,482-application-of-neural-network-methodology-to-the-modelling-of-the-yield-strength-in-a-steel-rolling-plate-mill.pdf
1991,Benchmarking Feed-Forward Neural Networks: Models and Measures,548-benchmarking-feed-forward-neural-networks-models-and-measures.pdf
1991,Fault Diagnosis of Antenna Pointing Systems using Hybrid Neural Network and Signal Processing Models,502-fault-diagnosis-of-antenna-pointing-systems-using-hybrid-neural-network-and-signal-processing-models.pdf
1991,Learning in Feedforward Networks with Nonsmooth Functions,494-learning-in-feedforward-networks-with-nonsmooth-functions.pdf
1991,Operators and curried functions: Training and analysis of simple recurrent networks,468-operators-and-curried-functions-training-and-analysis-of-simple-recurrent-networks.pdf
1991,"Splines, Rational Functions and Neural Networks",442-splines-rational-functions-and-neural-networks.pdf
1990,"Comparison of three classification techniques: CART, C4.5 and Multi-Layer Perceptrons",410-comparison-of-three-classification-techniques-cart-c45-and-multi-layer-perceptrons.pdf
1990,Direct memory access using two cues: Finding the intersection of sets in a connectionist model,434-direct-memory-access-using-two-cues-finding-the-intersection-of-sets-in-a-connectionist-model.pdf
1990,e-Entropy and the Complexity of Feedforward Neural Networks,386-e-entropy-and-the-complexity-of-feedforward-neural-networks.pdf
